epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6726,1.81351,10.0124,0.00784,0,0,0,0,1.31795,9.18637,0.00867,2e-05,2e-05,2e-05
2,32.6739,1.53082,8.36402,0.00708,0,0,0,0,1.42303,9.08368,0.00885,5.8812e-05,5.8812e-05,5.8812e-05
3,37.1885,1.23149,9.61548,0.00434,0,0,0,0,1.27245,8.71862,0.00703,9.604e-05,9.604e-05,9.604e-05
4,41.535,0.94754,11.8453,0.0052,0,0,0,0,1.10804,8.81561,0.00766,0.000131684,0.000131684,0.000131684
5,45.9161,1.0892,9.78369,0.00479,0,0,0,0,0.71464,9.01805,0.00502,0.000165744,0.000165744,0.000165744
6,50.0461,0.98872,7.04123,0.00337,0,0,0,0,0.83406,8.94712,0.00437,0.00019822,0.00019822,0.00019822
7,55.2998,0.99247,7.86294,0.00431,0,0,0,0,0.99251,8.85255,0.00564,0.000229112,0.000229112,0.000229112
8,60.6926,0.9937,6.36032,0.00292,0,0,0,0,1.22544,8.71481,0.00695,0.00025842,0.00025842,0.00025842
9,66.0628,0.89546,6.99089,0.00326,0,0,0,0,1.29851,8.63751,0.00739,0.000286144,0.000286144,0.000286144
10,70.3787,0.79655,6.47921,0.00302,0,0,0,0,1.26975,8.63746,0.0073,0.000312284,0.000312284,0.000312284
11,74.7796,0.97531,8.38729,0.00387,0,0,0,0,1.26737,8.6131,0.0073,0.00033684,0.00033684,0.00033684
12,79.1114,0.75989,6.23064,0.00257,0.00333,1,0.01809,0.00543,1.21604,8.61233,0.00688,0.000359812,0.000359812,0.000359812
13,84.6962,1.15339,6.9173,0.0043,0.00333,1,0.03554,0.01066,1.06097,8.65802,0.00556,0.0003812,0.0003812,0.0003812
14,89.8738,1.01583,6.223,0.0033,0.00333,1,0.05237,0.00524,0.95315,8.6555,0.00482,0.000401004,0.000401004,0.000401004
15,94.9135,0.98247,5.75568,0.00337,0,0,0,0,0.95327,8.59485,0.00584,0.000419224,0.000419224,0.000419224
16,100.871,0.8398,6.95573,0.00401,0,0,0,0,0.77751,8.66354,0.0039,0.00043586,0.00043586,0.00043586
17,105.684,1.04946,4.96297,0.00305,0,0,0,0,0.69182,8.64179,0.0032,0.000450912,0.000450912,0.000450912
18,110.13,0.94436,5.7114,0.00355,0,0,0,0,0.72052,8.53255,0.0043,0.00046438,0.00046438,0.00046438
19,114.608,0.85227,5.55095,0.00335,0,0,0,0,0.70414,8.4967,0.00332,0.000476264,0.000476264,0.000476264
20,118.958,0.80934,5.90592,0.00287,0.00333,1,0.995,0.199,0.85291,8.39364,0.00385,0.000486564,0.000486564,0.000486564
21,123.461,0.85614,4.96004,0.00272,0.00333,1,0.995,0.199,1.01131,8.23371,0.00592,0.00049528,0.00049528,0.00049528
22,127.791,0.9955,5.3469,0.00356,0.00333,1,0.4975,0.04975,0.93626,8.20632,0.00456,0.000502412,0.000502412,0.000502412
23,132.032,1.05986,6.09519,0.0038,0.00333,1,0.05237,0.00524,0.96,8.12514,0.00518,0.00050796,0.00050796,0.00050796
24,136.59,0.97681,5.52392,0.00361,0.00333,1,0.00939,0.00094,0.883,8.09765,0.00491,0.000511924,0.000511924,0.000511924
25,140.765,0.85512,5.5449,0.00364,0.00333,1,0.00881,0.00176,0.75264,8.08324,0.00384,0.000514304,0.000514304,0.000514304
26,145.717,0.97582,5.65002,0.0038,0.00333,1,0.00754,0.00151,0.6535,8.0463,0.00381,0.0005151,0.0005151,0.0005151
27,150.151,0.89609,4.53272,0.00309,0.00333,1,0.00634,0.00455,0.50223,7.99449,0.00298,0.000514312,0.000514312,0.000514312
28,155.597,0.85427,4.20893,0.00361,0.00333,1,0.00634,0.00455,0.50223,7.99449,0.00298,0.00051194,0.00051194,0.00051194
29,160.275,0.92946,5.77055,0.00321,0.00333,1,0.14214,0.12793,0.53363,7.87459,0.00356,0.000507984,0.000507984,0.000507984
30,164.855,1.01014,4.98664,0.00365,0.00333,1,0.995,0.796,0.77663,7.70881,0.00396,0.000502444,0.000502444,0.000502444
31,168.936,0.96365,5.68322,0.00394,0.00333,1,0.995,0.796,0.77663,7.70881,0.00396,0.00049532,0.00049532,0.00049532
32,173.055,1.02168,4.48569,0.00348,0.00333,1,0.995,0.74625,0.97082,7.46704,0.00665,0.000486612,0.000486612,0.000486612
33,177.501,0.97664,5.1642,0.00396,0.00333,1,0.995,0.6965,0.97764,7.34761,0.00625,0.00047632,0.00047632,0.00047632
34,182.289,0.91166,4.85035,0.00391,0.00333,1,0.995,0.6965,0.97764,7.34761,0.00625,0.000464444,0.000464444,0.000464444
35,187.097,0.87964,5.12483,0.0033,0.00333,1,0.995,0.6965,0.96585,7.23278,0.00567,0.000450984,0.000450984,0.000450984
36,191.463,0.91457,4.14983,0.00308,0.00333,1,0.995,0.796,0.88364,7.15296,0.0049,0.00043594,0.00043594,0.00043594
37,195.976,0.97362,4.27115,0.003,0.00333,1,0.995,0.796,0.88364,7.15296,0.0049,0.000419312,0.000419312,0.000419312
38,200.583,0.90152,5.3331,0.0035,0.00333,1,0.995,0.796,0.84871,7.07651,0.00476,0.0004011,0.0004011,0.0004011
39,205.008,1.01522,4.73207,0.00344,0.00333,1,0.995,0.796,0.7819,7.01739,0.00456,0.000381304,0.000381304,0.000381304
40,209.251,0.90926,5.08367,0.00328,0.00333,1,0.995,0.796,0.7819,7.01739,0.00456,0.000359924,0.000359924,0.000359924
41,222.845,0.85885,6.78835,0.00433,0.00333,1,0.995,0.84575,0.68418,6.98764,0.00403,0.00033696,0.00033696,0.00033696
42,227.32,0.69559,6.40048,0.00285,0.00333,1,0.995,0.8955,0.54823,6.99797,0.00307,0.000312412,0.000312412,0.000312412
43,232.125,0.75589,6.32482,0.00336,0.00333,1,0.995,0.8955,0.54823,6.99797,0.00307,0.00028628,0.00028628,0.00028628
44,237.324,0.68273,6.63353,0.00262,0.00333,1,0.995,0.8955,0.45708,6.95527,0.00252,0.000258564,0.000258564,0.000258564
45,241.976,0.74456,6.36299,0.00338,0.00333,1,0.995,0.8955,0.45708,6.95527,0.00252,0.000229264,0.000229264,0.000229264
46,246.596,0.86156,6.40542,0.00378,0.00333,1,0.995,0.84575,0.50927,6.87247,0.00319,0.00019838,0.00019838,0.00019838
47,250.739,0.88136,6.18382,0.0034,0.00333,1,0.995,0.84575,0.50927,6.87247,0.00319,0.000165912,0.000165912,0.000165912
48,255.574,0.81125,6.03161,0.00294,0.00333,1,0.995,0.84575,0.5428,6.77522,0.00354,0.00013186,0.00013186,0.00013186
49,260.291,0.78765,7.04653,0.00324,0.00333,1,0.995,0.84575,0.5428,6.77522,0.00354,9.6224e-05,9.6224e-05,9.6224e-05
50,264.922,0.8528,6.09281,0.00343,0.00333,1,0.995,0.84575,0.5507,6.66245,0.0036,5.9004e-05,5.9004e-05,5.9004e-05
